title,pageid,length
Automated_theorem_proving,2546,29198
Acceptance_testing,3233,16735
Boolean_satisfiability_problem,4715,54659
Computer_programming,5311,22988
Computer_program,5783,28460
Context-free_grammar,6759,39603
Code_coverage,7030,18005
Class_(computer_programming),7392,48847
Graphical_user_interface,12293,30278
Hacker,13533,26053
Kludge,16615,24644
Lambda_calculus,18203,77038
Multitier_architecture,20003,12600
Programming_language,23015,77764
Software_engineering,27010,35845
Software_Engineering_Institute,27011,10789
Software_crisis,27012,3722
Set_theory,27553,32152
Spaghetti_code,28732,16576
Static_program_analysis,28811,14419
Software_Engineering_Body_of_Knowledge,28878,4567
Software_testing,29090,83005
Second-system_effect,29313,1873
Side_effect_(computer_science),29519,7176
Turing_machine,30403,73093
Unified_Modeling_Language,32169,20089
Usability_testing,32288,19715
World_Wide_Web_Consortium,33149,18254
Web_server,33455,14987
Z_notation,34521,8767
Event_cascade,37084,454
Regression_testing,38411,11073
Design_by_contract,39289,17263
Precondition,39290,3642
Postcondition,39291,3708
Software_performance_testing,39294,21566
Sanity_check,39893,8158
Systems_design,41774,8774
Java_Message_Service,42866,11481
Thread_safety,45634,9349
Top-down_and_bottom-up_design,45635,32249
Turing_tarpit,46633,3643
Software_architecture,48364,46127
Reserved_word,49723,24801
Version_control,55955,30588
Conformance_testing,56001,12049
Abnormal_end,60467,1595
Feature_creep,73528,11668
Bookmarklet,81218,9822
Ousterhout's_dichotomy,81250,5901
Metacharacter,81959,3045
Subsumption_architecture,83552,11803
Cargo_cult_programming,84478,5073
WEB,87394,1964
Software_engineer,90471,28669
Workaround,124490,7825
Vienna_Development_Method,140583,40082
Specification_language,140586,4242
Z++,140589,1484
List_of_programming_languages,144146,26341
Meta-Object_Facility,145438,6914
Free_variables_and_bound_variables,147460,13747
Business_logic,157004,10168
Interface_description_language,160224,4216
Formal_methods,161883,22630
Software_design_pattern,164952,42220
Application_server,165154,14069
Software_configuration_management,165180,8018
Open_Database_Connectivity,168701,31637
Traceability,174247,18001
Software_metric,187442,7229
Programming_paradigm,189897,17921
Self-hosting,192092,7005
Web_container,200690,4815
Object-oriented_software_engineering,208515,1342
QED_manifesto,209532,4862
Software_house,212862,12248
Stress_testing,214554,9147
McCarthy_91_function,222665,7800
Unit_testing,222828,28659
Worse_is_better,223321,7014
Software_design,223325,19672
Program_optimization,225779,31137
Computer_code,232500,1262
Rational_Unified_Process,233624,17732
Anti-pattern,233956,17751
Assertion_(software_development),234018,19061
Code_smell,234034,9340
Concern_(computer_science),234140,3551
Traceability_matrix,242084,5822
System_context_diagram,243791,7448
Simulated_reality,247365,18077
Software_development,248932,30295
Electronic_business,264466,18793
Formal_verification,270054,12497
Polyglot_(computing),275174,5458
Shared-nothing_architecture,275651,6018
Black-box_testing,275909,3716
Think_aloud_protocol,284283,5228
Paper_prototyping,284291,9382
Safety-critical_system,286550,12730
Web_application,288311,16698
Webby_Award,288394,17509
Source_lines_of_code,295066,24540
Use_case,300006,31345
Liskov_substitution_principle,300568,9949
Stovepipe_system,310665,1928
Strict_function,319252,2666
Web_syndication,327054,9456
Business_Process_Execution_Language,334947,16642
Software_bloat,335766,17183
Reusability,346547,3629
Modeling_language,346781,20840
Tiger_team,347113,12470
Object_type_(object-oriented_programming),347585,8614
Desktop_metaphor,348304,9025
Third-party_software_component,349218,1243
System_requirements,349768,10138
Transparency_(human–computer_interaction),351091,6243
Magic_number_(programming),352996,38858
Integration_testing,355711,3385
Outline_of_software_engineering,357616,29029
Test-driven_development,357881,42848
System_programming,365264,5655
Rank_(computer_programming),366007,2428
Production_equipment_control,372426,975
Open_architecture,378204,2900
Load_testing,380180,15871
Ad_hoc_polymorphism,390418,6783
Bisimulation,397571,11803
Semantics_(computer_science),397608,11494
Platform-independent_model,401151,1452
Platform-specific_model,401164,2209
Model-driven_architecture,401169,20809
Interface_bloat,402849,868
Front_and_back_ends,428625,7373
Decision_table,433572,11541
Operator_associativity,459474,10963
Web_developer,460187,4540
System_programming_language,472805,9040
Software_engineering_professionalism,473948,16855
Patch_(computing),475153,25018
Orange_box,487507,1405
Write-only_language,496500,3906
Installation_testing,517599,4262
Requirements_analysis,522449,23591
Flowchart,527453,18950
Software_Engineering_2004,531749,858
Software_engineering_demographics,535034,9000
Alan_Cooper,537597,18858
Cohesion_(computer_science),542168,8373
Requirement,544592,25294
Program_slicing,569460,7762
Systems_development_life_cycle,573528,34667
Loop_invariant,578460,16621
Source_port,584820,7249
Big_ball_of_mud,587165,6041
Type_safety,602650,26526
Structured_systems_analysis_and_design_method,604658,13139
Off-side_rule,605595,8715
Web_development,611714,9562
HOOD_method,623281,1070
Round-trip_engineering,637240,6710
Monolithic_system,643800,1673
Dangling_else,648096,7904
"Write_once,_run_anywhere",651278,4266
Terry_Halpin,651800,5162
Corner_case,652102,2869
Edge_case,652109,2301
Dependability,661384,14093
Software_verification,665989,4809
SAIV,674280,345
Method_stub,674329,4147
CMS_Pipelines,692211,8027
Software_verification_and_validation,699718,19283
Syntactic_methods,699752,4311
Computerized_system_validation,746959,1277
History_of_software_engineering,758895,21630
Software_framework,768211,10948
White-box_testing,768799,9825
Software_maintenance,780960,16019
Philippe_Kruchten,798663,4421
Policy-based_design,826852,9072
Interactive_Disassembler,852322,7939
Dependency_hell,858993,17690
System_testing,864021,3507
Class-responsibility-collaboration_card,891046,3263
Programming_domain,896932,945
One-liner_program,898917,10463
Representational_state_transfer,907222,21173
Feature_interaction_problem,914700,5575
Software_versioning,920901,39961
Enterprise_service_bus,928254,18731
Directive_(programming),930128,9541
Backporting,946566,4205
Skeleton_(computer_programming),954216,2986
Live_coding,954290,16221
IDL_specification_language,956653,2545
Playtest,980251,15065
Requirements_engineering,981981,9164
Software_requirements_specification,990036,8106
Golem_(ILP),993979,533
Style_sheet_(web_development),996933,6026
Derived_object,1008129,1037
Cyclomatic_complexity,1014906,23267
Testbed,1035597,4939
Formal_equivalence_checking,1046024,8139
TPS_report,1065521,2968
List_of_system_quality_attributes,1081685,5701
Ambiguous_viewpoint,1086076,1551
Test_automation,1086547,21409
Software_prototyping,1090852,40779
Language_Of_Temporal_Ordering_Specification,1117722,2538
Invariant_(computer_science),1126643,7116
Daily_build,1126769,2731
Ivar_Jacobson,1127106,8481
Vulnerability_(computing),1129827,29722
Rich_Internet_application,1141591,14960
Logic_in_computer_science,1151991,14450
Maintenance_mode,1162620,1308
Metatable,1168490,710
Fagan_inspection,1179063,9800
Ripple_effect,1188460,1785
Penetration_test,1199793,20092
Greenspun's_tenth_rule,1210851,4125
Diomidis_Spinellis,1212157,3740
Principle_of_good_enough,1233851,2188
Web_engineering,1252448,10969
80:20_rule,1283618,133
Reinventing_the_wheel,1291336,6637
Software_quality,1301906,45124
Function_prototype,1311431,5277
Hotfix,1315081,5641
Model-based_testing,1343866,14996
Test_case,1343949,5251
Software_test_documentation,1348016,6089
ISO/IEC_9126,1348510,8652
KiXtart,1370630,3574
Workspace,1375104,7344
Crash-only_software,1389274,2671
JSP_model_2_architecture,1389337,7018
Coupling_(computer_programming),1425449,11144
Test_script,1433334,3358
Mondex,1441125,4009
Predicate_transformer_semantics,1453583,24394
Product_requirements_document,1464875,4011
Software_transactional_memory,1478707,31095
Dependency_injection,1484696,43538
Test_plan,1584125,7371
Matt_Mullenweg,1585314,22335
Inversion_of_control,1589554,12363
ThoughtWorks,1608987,29497
Ajax_(programming),1610950,22724
Extensibility,1617522,9332
Const_(computer_programming),1639512,40521
Refinement_(computing),1644367,4647
Boundary_case,1645141,804
Secure_by_design,1646964,7083
Object_Process_Methodology,1656850,94107
Timeout_(computing),1657639,3047
Functional_software_architecture,1674342,14536
Meta-process_modeling,1674557,33286
Metamodeling,1674626,13874
Dynamic_web_page,1697881,12403
Architecture_tradeoff_analysis_method,1708944,4683
Equivalence_partitioning,1709984,8487
Boundary-value_analysis,1709986,5890
Fuzzing,1710557,34996
Command_verb,1716711,849
Reliability_engineering,1724836,91324
"Write_once,_compile_anywhere",1729790,1876
Object-based_language,1759766,4050
Business_Object_Notation,1790493,933
All-pairs_testing,1799103,7009
Architecture_description_language,1799268,22413
Programming_in_the_large_and_programming_in_the_small,1800329,6327
Distributed_version_control,1804746,11063
Software_brittleness,1805449,5968
Failure_assessment,1810448,495
Services_computing,1820849,1660
Nassi–Shneiderman_diagram,1834450,7337
Software_quality_assurance,1843409,2941
Opaque_predicate,1898450,986
Feature-driven_development,1903153,10884
Software_rot,1906495,8756
Composability,1908856,3355
Function_composition_(computer_science),1911084,16073
Scenario_(computing),1918289,8207
Creeping_elegance,1932039,827
Marchitecture,1934192,3170
Functional_design,1973221,3796
State_logic,1977422,1474
Critical_mass_(software_engineering),1978469,1270
Push_technology,1982854,13578
Zawinski's_law_of_software_envelopment,2007617,102
Website_builder,2038794,5455
CO-OPN,2078596,2591
Active_window,2081994,2720
Cowboy_coding,2088387,6087
Fault_tolerance,2091393,24791
MIL-STD-498,2096616,9771
Attribute-oriented_programming,2099600,4704
Requirements_management,2109782,16382
Codebase,2111762,6649
Australian_Software_Engineering_Conference,2140622,2291
Domain-specific_modeling,2140720,9686
Patch_Tuesday,2177220,15382
Decomposition_(computer_science),2193987,4154
Lustre_(programming_language),2211835,2853
Test_harness,2212173,3752
Teleogenesis,2220846,687
Software_package_metrics,2262585,3191
Dynaset,2271127,1552
Uniform_access_principle,2278914,11167
Conway's_law,2285258,6704
SLAM_project,2285574,2012
White_box_(software_engineering),2288308,1100
Merge_(version_control),2341198,13317
Microformat,2346998,23465
UHAPI_Forum,2360317,458
Mutation_testing,2362840,16137
Waterbed_theory,2374030,1002
Functional_requirement,2377273,4943
Capacity_optimization,2380971,2449
Self-documenting_code,2418555,3088
UIMA,2422681,3350
Task_computing,2443626,2473
B-Method,2443683,8482
Jean-Raymond_Abrial,2443873,2357
Shlaer–Mellor_method,2457641,12809
TNTmips,2468756,2613
Lightweight_Imaging_Device_Interface_Language,2491705,854
Software_architect,2497132,3988
Implicit_invocation,2505607,1765
Concurrency_semantics,2513130,482
Domain_model,2524095,2687
Continuous_design,2535369,1882
Static_timing_analysis,2546747,9633
Overhead_(computing),2554671,4626
Formal_specification,2567707,11258
Metafile,2568013,1036
Opaque_pointer,2570200,9299
List_of_software_development_philosophies,2574632,2325
Abstract_state_machines,2575836,10289
Use_case_survey,2578095,2953
Single_responsibility_principle,2584592,3905
Public_interface,2584593,2841
International_Conference_on_Software_Engineering,2586061,8492
AUTOSAR,2595431,13118
User_requirements_document,2608630,2080
Object-oriented_analysis_and_design,2613984,15669
DO-178B,2625968,14430
Keyword_(computer_programming),2633995,105
Circular_dependency,2640550,4912
Program_Design_Language,2641112,1098
Magic_(programming),2641649,7713
User_story,2656549,13559
SIGSOFT,2666078,3302
Software_Engineering_Notes,2666118,1385
IEEE_Transactions_on_Software_Engineering,2672653,2327
Business_Readiness_Rating,2681545,709
Browser_sniffing,2695651,4374
Index_of_software_engineering_articles,2702229,7545
System_requirements_specification,2705889,2072
Code_bloat,2707448,3422
Mashup_(web_application_hybrid),2709092,21999
Software_craftsmanship,2724842,7582
Control_Structure_Diagram,2760015,817
Refinement_calculus,2775268,1782
Use-case_analysis,2787519,6695
Software_build,2788153,3856
Service-oriented_development_of_applications,2796616,1539
Change_control_board,2806250,1829
Programming_complexity,2814347,6233
Component-based_software_engineering,2816674,19076
JSP_model_1_architecture,2830704,1656
Gap_analysis,2835766,8292
Computer-assisted_proof,2840305,9934
Essential_complexity,2842330,8217
Application_domain,2850879,3484
Pseudolocalization,2852772,8595
Uniface_(programming_language),2905637,24654
Web_API,2915176,11381
Locks-and-keys,2923328,1247
I*,2929629,7987
Orthogonal_Defect_Classification,2949170,3196
Session-based_testing,2951275,4639
Exploratory_testing,2951380,10857
Objectory,2954287,485
Kernel_Normal_Form,2965083,1897
Behavior-driven_development,2965801,27473
Petriscript,2980629,4255
Interchangeability_(computer_science),2983786,585
Soft_goal,2986221,1754
Non-functional_requirements_framework,2986645,2404
Goal-oriented_Requirements_Language,2986886,4026
Business_Process_Model_and_Notation,3015586,31214
Web_content_development,3025578,5501
Non-functional_requirement,3069747,7471
Software_visualization,3070397,10488
Software_assurance,3084104,10997
Explicit_parallelism,3095332,1537
Runtime_verification,3098816,31022
Mauve_(test_suite),3111042,1655
Evolver_(software),3119872,723
Bug_bash,3121797,1791
Rich_client_platform,3126028,2555
Inverse_search,3126455,2303
Monkey_testing,3128547,5590
Multitenancy,3157360,11438
Program-specific_information,3167892,24924
Syntax_(programming_languages),3206060,17137
Computer_network_programming,3224769,2567
Game_testing,3242208,25539
Record_Management_System,3285538,991
Don't_repeat_yourself,3291957,4364
Darwin_(ADL),3292029,1233
Certified_Software_Development_Professional,3292102,5567
Hazard_analysis,3292213,9482
Dynamic_Invocation_Interface,3317053,1242
Softcoding,3342347,3807
DREAM_(software),3344337,1105
Cleanroom_software_engineering,3348116,4335
Systems_architecture,3403318,11327
Hand_coding,3420503,3175
Branching_(version_control),3422285,4972
Remote_scripting,3447227,2963
Open_service_interface_definitions,3453273,4333
Repository_Open_Service_Interface_Definition,3455066,1779
Agent_Open_Service_Interface_Definition,3455220,585
Assessment_Open_Service_Interface_Definition,3455404,1207
Scheduling_Open_Service_Interface_Definition,3456256,953
Authentication_Open_Service_Interface_Definition,3456400,1239
Authorization_Open_Service_Interface_Definition,3456551,1779
CourseManagement_Open_Service_Interface_Definition,3456647,1643
Dictionary_Open_Service_Interface_Definition,3456740,1868
Workflow_Open_Service_Interface_Definition,3457017,1727
Messaging_Open_Service_Interface_Definition,3457751,891
Logging_Open_Service_Interface_Definition,3460049,1086
Hierarchy_Open_Service_Interface_Definition,3460194,1175
Filing_Open_Service_Interface_Definition,3460342,845
Grading_Open_Service_Interface_Definition,3460759,1287
MochiKit,3470574,1806
Domain_analysis,3471187,3586
Out-of-band_agreement,3471522,980
Office_controller,3519194,2123
Reference_architecture,3543701,4638
Heisenbug,3590233,12319
Program_temporary_fix,3651356,5980
System_integration_testing,3668276,6933
Microsoft_Security_Development_Lifecycle,3685303,2431
Kata_(programming),3697624,1730
Software_analyst,3710585,1071
PlanetLab,3727977,1088
Program_comprehension,3733920,1604
Experimental_software_engineering,3750731,4478
Test_vector_generator,3753304,536
Software_design_description,3771347,4151
Portability_testing,3784393,8901
Microsoft_Software_Assurance,3797776,4713
Canadian_University_Software_Engineering_Conference,3801074,9362
Asynchronous_system,3801097,8380
Bigraph,3804402,8305
Metasploit_Project,3838115,13107
Schema_for_Object-Oriented_XML,3859480,1593
Duplicate_code,3875705,8821
Trait_(computer_programming),3893690,18018
Taint_checking,3906986,5648
Deutsch_limit,3919573,4420
Matrix_of_pain,3921454,1037
Categorical_set_theory,3921716,2036
Proof-carrying_code,3929020,3319
Security_testing,3943130,6370
Design_marker,3948467,1988
Algebraic_specification,4018181,3068
IBM_TPNS,4021930,42264
Garbage_(computer_science),4035183,7868
Programming_model,4045128,2512
Binary_moment_diagram,4056695,4071
Identity_transform,4081099,8104
Aleksandar_Totic,4087212,571
Psychology_of_programming,4119246,3584
Software_system_safety,4135205,5621
Domain_engineering,4152892,13846
Invariant-based_programming,4160992,2246
Jacques_Bonjawo,4226165,2940
XPDL,4261263,10863
W3C_Software_Notice_and_License,4283705,1662
Object-oriented_modeling,4295117,2227
Function_point,4318654,10221
Semantic_service-oriented_architecture,4323170,5750
Smart_client,4335752,3069
Composite_application,4415933,2508
Homoiconicity,4447184,14433
Machine-dependent_software,4472835,7866
Agent_architecture,4510677,1395
Probe_effect,4515786,1798
Comet_(programming),4533952,23572
National_Software_Testing_Laboratories,4561482,681
PREview,4566423,11752
CTQ_tree,4569345,1756
Interface_metaphor,4581686,6636
OELib,4583557,687
Glue_code,4624733,2541
Battle_management_language,4657161,3973
Target–action,4659420,4313
Expressive_power_(computer_science),4669465,7525
Object_Query_Language,4674558,1679
Synchronization_model,4686244,10453
And-inverter_graph,4689919,9590
Differential_inheritance,4691082,1335
Reference_model,4696265,9086
Requirement_prioritization,4717231,5431
Internet-Speed_Development,4731717,23448
Event-driven_architecture,4731786,16011
Test_management,4732887,5256
Little_b_(programming_language),4740151,2463
Model_transformation_language,4773563,6268
Semipredicate_problem,4785143,10204
WebML,4797164,13356
Signature_program,4798195,5225
KM3,4852801,2277
Stability_Model,4859085,2391
Gnits_standards,4870833,2062
Generic_Modeling_Environment,4873950,1133
IDEAS_Group,4901873,6635
GRASP_(object-oriented_design),4907231,8099
Wright_(ADL),4918427,1374
HTTP_compression,4954757,16406
Innovations_in_Systems_and_Software_Engineering,4967361,2976
Anemic_domain_model,4975273,6121
Efferent_coupling,5023072,1276
Lightweight_software_test_automation,5046884,4108
Advanced_transportation_controller,5076715,935
Rational_R1000,5135097,1970
Satisfiability_modulo_theories,5138563,24575
IEEE_1471,5143530,11517
Design_process_(computing),5171018,622
Command_language,5186515,1622
Exception_safety,5195468,4632
PM_Declaration_of_Interdependence,5207056,2466
Test_bench,5252160,3180
Buildbot,5255805,2780
Presentation–abstraction–control,5274765,6990
Open/closed_principle,5404610,5295
Trunk_(software),5438836,2173
Programming_language_specification,5438926,13169
Programming_language_implementation,5439284,3716
Dynamic_program_analysis,5463848,5770
Interactive_design,5532455,20566
Best_coding_practices,5548053,28189
Leaning_toothpick_syndrome,5552846,7323
WURFL,5575030,11629
Symbolic_simulation,5575498,1472
Boilerplate_code,5622243,8515
Conditional_operator,5647807,785
Software_security_assurance,5654541,10918
Dry_run_(testing),5664562,1144
Joint_application_design,5720202,20345
Cognitive_dimensions_of_notations,5728377,8156
Cheat_sheet,5733800,2809
High-_and_low-level,5734146,4517
General-purpose_modeling,5734285,1504
Visual_modeling,5734612,1838
Robbins_algebra,5825422,3316
Server_emulator,5851467,9113
Attack_surface,5920768,3718
AspectC++,5926156,3455
International_Software_Testing_Qualifications_Board,5933562,11085
Layer_(object-oriented_design),6018908,1681
Persistence_(computer_science),6025550,6840
Open_Hub,6028132,9424
Sandbox_(software_development),6063848,6102
Association_for_Software_Testing,6076142,3632
Dynamic_testing,6109829,1649
Object-oriented_design,6111038,9893
Scaffold_(programming),6210017,5916
Provider_model,6213806,1829
Communications_&_Information_Services_Corps,6256906,15631
Functional_testing,6264581,2441
Outline_of_computer_programming,6301802,16256
Artifact_(software_development),6303113,4491
Viscosity_(programming),6413371,764
Macro_instruction,6427906,5464
Rigi_(software),6437953,6681
Test_data,6476885,2593
Object_manager,6534243,534
International_Webmasters_Association,6576364,1257
System_time,6613070,27602
Speedcoding,6616312,4238
Keyword-driven_testing,6742890,9706
Eclipse_Modeling_Framework,6763494,3615
End-user_development,6795600,27105
Framework_for_integrated_test,6883111,2350
GQM,6884839,4925
Algorithm_characterizations,6901703,72336
Maintenance_release,6960642,1313
Extended_finite-state_machine,6965259,3257
Monolithic_application,7023871,3250
Test_Anything_Protocol,7039060,3014
Prentice_Hall_International_Series_in_Computer_Science,7069425,2954
Content_adaptation,7108375,6434
Conceptual_model_(computer_science),7109929,3804
Static_web_page,7123267,2663
Reactive_user_interface,7138096,1653
Decline_and_Fall_of_the_American_Programmer,7142775,2710
Generic_Eclipse_Modeling_System,7143470,3874
Web_application_development,7206282,6642
Online_judge,7289814,2435
Composite_UI_Application_Block,7324925,1456
Software_engine,7357562,4286
Computer_programming_in_the_punched_card_era,7380371,8160
Search-oriented_architecture,7470226,1881
Software_architecture_analysis_method,7564456,787
Test_effort,7663090,3869
JQuery,7672626,24770
Structured_analysis,7696546,23775
Common_Component_Architecture,7698591,805
Mobile-device_testing,7706325,4866
Tefkat,7726497,3244
Ad_hoc_testing,7728202,1095
Nested_quotation,7732659,4867
Retiming,7770362,6797
Artificial_intelligence_systems_integration,7872324,11816
Software_evolution,7917758,15355
Software_blueprint,7932845,3400
Characterization_test,7950962,6416
Adjustment_handle,7955525,827
Event_(computing),7962417,11136
Coding_conventions,7969681,19533
Software_architectural_model,7985045,5340
Framework-specific_modeling_language,8036355,2583
Situational_application,8142499,3788
Testware,8143104,1852
HLSL2GLSL,8191286,2967
Check_(unit_testing_framework),8206148,1589
Staged_event-driven_architecture,8222044,3201
Sigar_(software),8253497,895
Gemstone_(database),8260106,5956
Graphical_user_interface_testing,8261215,12664
Adaptive_algorithm,8286430,2597
Software_portability,8400335,7723
Fault_injection,8429908,21616
Stress_testing_(software),8445754,7064
CA/EZTEST,8465195,3766
Software_modernization,8503981,17634
Recovery_testing,8518263,1654
Automated_proof_checking,8618570,2406
Security_bug,8632926,2844
Rule_of_three_(C++_programming),8715728,7185
Presentation_logic,8764576,2169
Exploratory_programming,8766693,1958
EFx_Factory,8803642,10383
Sidegrade,8824516,1176
Service-oriented_architecture_implementation_framework,8836161,17844
Architecture_framework,8851985,1059
Stevens_Award,8881415,2079
Committer,8889979,2262
Software_quality_management,8967007,11238
Conference_room_pilot,9002006,2337
Soak_testing,9002673,2543
Attack_patterns,9006286,13255
Cockburn_Scale,9007356,2665
IBM_Product_Test,9015515,2177
Presenter_first_(software_approach),9032156,5215
IBM_WebSphere_ESB,9036446,383
Functional_specification,9053231,6354
Design_predicates,9054619,3413
Droplets_(programming_environment),9054662,384
Compatibility_testing,9113053,825
OOHDM,9159215,828
M2M_(Eclipse),9227646,1015
Risk-based_testing,9232391,4334
Software_analysis_pattern,9238495,7053
Volume_testing,9266554,1037
Non-functional_testing,9266740,1219
Scalability_testing,9266795,8409
Parametricity,9315395,4685
A/B_testing,9332179,15337
Happy_path,9336966,1675
RITE_Method,9376189,2988
Self-testing_code,9403814,1012
FURPS,9462739,3677
Algebraic_modeling_language,9463527,8610
Zero_one_infinity_rule,9465910,2218
Manual_testing,9516924,7592
OLE_DB_for_OLAP,9549317,2085
Reuse_metrics,9585793,1343
OpenKODE,9665492,1655
Decision-to-decision_path,9704668,4387
Cause–effect_graph,9707263,2282
Promela,9733137,14537
Usage-centered_design,9733745,3399
W3C_Device_Description_Working_Group,9734965,3882
Slow_design,9749044,5841
Vision_document,9800707,2636
Bauhaus_Project_(computing),9876168,9419
International_Conference_on_Software_Reuse,9894026,3000
RCOS_(computer_sciences),9894468,3958
Pointer_aliasing,9921347,4494
Gateway_(computer_program),9953336,678
Modularity-driven_testing,9987726,1268
Data-driven_testing,9987790,3364
Lightweight_programming_language,10001714,679
ERequirements,10058197,942
Quality_engineering,10067215,10828
Sun_Web_Developer_Pack,10080676,2659
Google_Guice,10088312,3230
Agile_testing,10319588,8084
POPLmark_challenge,10323007,4358
OSHCA,10347397,2608
Stream_X-Machine,10388845,9608
Knowledge_Discovery_Metamodel,10482722,9179
Month_of_bugs,10485555,5951
SitePal,10578514,6049
Advanced_Programming_Specialist_Group,10601400,2615
International_World_Wide_Web_Conference_Committee,10620750,8997
Design_rationale,10710154,25984
Software_system,10768456,4349
Journal_of_Systems_and_Software,10807068,3069
Statistical_static_timing_analysis,10864076,4860
Universal_Scrolling,10901667,850
Essentials_of_Programming_Languages,11071609,4613
Architecture-driven_modernization,11132789,4682
